발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018071721,18,야,화,1,1,0,0,0,경남,김해시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1127749.0,1694934.0,128.9040573,35.24168647
2018,2018042020,9,야,금,1,2,0,1,0,경남,김해시,차대차,측면충돌,측면충돌,운전자법규위반,차로위반(진로변경 위반),단일로,기타단일로,이륜차,이륜차,이륜차,이륜차,1128811.0,1693525.0,128.9155056,35.22884932
2018,2018083011,50,주,목,1,1,0,0,0,경남,거창군,차대차,추돌,추돌,운전자법규위반,앞지르기 금지위반,교차로,교차로내,화물차,화물차,이륜차,이륜차,1032883.0,1752788.0,127.8637993,35.77093242
2018,2018092919,50,야,토,2,2,0,0,0,경남,합천군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1069088.0,1729497.0,128.2623291,35.55907051
2018,2018030420,32,야,일,1,2,1,0,0,경남,창녕군,차대사람,기타,기타,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,승용차,보행자,보행자,1088447.0,1711181.0,128.4739214,35.3924043
2018,2018070612,0,주,금,1,1,0,0,0,경남,창녕군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,1089292.0,1727630.0,128.4850315,35.54062344
2018,2018080516,37,주,일,1,1,0,0,0,경남,양산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1141734.0,1715426.0,129.0612637,35.42451262
2018,2018121903,34,야,수,1,1,0,0,0,경남,양산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1140553.0,1710266.0,129.0473695,35.37817021
2018,2018082806,50,주,화,1,1,0,0,0,경남,양산시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1136185.0,1702980.0,128.9980832,35.31310163
2018,2018080607,20,주,월,1,1,0,0,0,경남,거제시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1109993.0,1648897.0,128.7028492,34.82875175
2018,2018100511,22,주,금,1,1,0,0,0,경남,거제시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,고가도로위,승용차,승용차,없음,없음,1111094.0,1662296.0,128.7166667,34.94943175
2018,2018102418,25,야,수,1,1,0,0,0,경남,의령군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,불명,불명,승용차,승용차,보행자,보행자,1067460.0,1703408.0,128.2422045,35.32396376
2018,2018060316,17,주,일,1,1,0,0,0,경남,의령군,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,없음,없음,1080501.0,1710090.0,128.3863274,35.38324174
2018,2018042822,20,야,토,1,1,0,0,0,경남,창원시(통합),차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,원동기장치자전거,없음,없음,1105438.0,1694306.0,128.6588116,35.23862115
2018,2018121523,20,야,토,1,1,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1101351.0,1696428.0,128.614163,35.25817345
2018,2018121011,15,주,월,1,1,0,0,0,경남,창원시(통합),차대차,기타,기타,운전자법규위반,신호위반,단일로,기타단일로,이륜차,이륜차,승용차,승용차,1109886.0,1704758.0,128.7090878,35.33236811
